grid,망포1동 행정복지센터,매탄3동 행정복지센터,매탄2동 행정복지센터,광교1동 행정복지센터,영통종합사회복지관,영통2동 행정복지센터,영통1동 행정복지센터,영통3동행정복지센터,광교2동 행정복지센터,광교종합사회복지관,망포2동 주민센터(행정복지센터),영통청소년문화의집(영통청소년청년센터),영통한국문화센터,영통2동문화센터,광교홍재도서관,수원시립영통도서관,수원체육문화센터,광교복합체육센터,영통체육문화센터,영통지구대,수원남부경찰서,영통2치안센터,영통공영주차장,영통우체국앞 노상공영주차장,영통동 동수원세무서앞 노상공영주차장,망포역 공영주차장,영통구보건소,경기남부근로자건강센터,수원여성인력개발센터(영통여성새로일하기센터),수원영통동우체국,수원황곡우체국,geometry
다사620212,5811.884361,4472.602818,3050.235916,2170.070965,4336.108801,4906.593187,2681.340871,4427.15056,341.8505351,2504.773985,5905.874349,4076.518058,4194.798646,4924.127475,2648.671553,3574.436671,3526.279807,823.0039838,3020.271591,3874.731193,2481.884929,4056.369915,4009.135322,3955.202749,4236.117019,5056.979697,3614.850327,5030.311307,3995.436414,4925.224146,2615.548595,"POLYGON ((127.07129215837595 37.28896419069774, 127.07128704417433 37.28986556425035, 127.07241520743734 37.28986964508134, 127.07242030818186 37.288968271396364, 127.07129215837595 37.28896419069774))"
다사605154,499.9813178,2391.067513,3729.526438,5935.740182,2466.031642,1104.440544,3946.569486,2159.053506,6254.012796,6957.013142,380.3124347,2154.607474,2474.335858,1094.224873,7351.477354,2684.240095,2600.435129,5172.405296,4030.989593,2815.988264,3891.832356,2161.282486,2448.663755,2673.938526,2299.886246,937.1274482,2538.124195,983.0093477,2536.203134,1071.745547,4003.288094,"POLYGON ((127.05467786567397 37.23662190500544, 127.05467256332481 37.23752328454741, 127.05579994359779 37.23752751868751, 127.05580523252472 37.23662613900814, 127.05467786567397 37.23662190500544))"
다사610161,622.1099319,2127.915984,3192.486811,5327.357157,1663.944297,566.0947652,3086.054075,1345.133102,5472.909014,6339.975484,976.538464,1294.257526,1649.604703,586.6757705,6723.190027,1824.192834,1749.569028,4376.143958,3176.373321,1975.240766,3243.498136,1300.73817,1598.736749,1833.058591,1466.26942,373.1098481,1683.270987,206.7184763,1690.690888,472.7785033,3142.922363,"POLYGON ((127.06027805071632 37.24295262637918, 127.06027281384694 37.243854005637495, 127.06140028926372 37.24385818706719, 127.06140551270663 37.24295680767319, 127.06027805071632 37.24295262637918))"
다사618165,1302.177297,2585.476502,3240.97327,5185.588955,770.1378731,1201.183849,2339.604715,455.8714256,5007.145395,6165.155538,1869.450698,631.3960485,771.2395069,1236.735225,6524.989309,1144.424242,1186.653636,3892.954123,2357.723628,1122.550483,3114.547014,653.2872731,785.1963648,982.2585457,604.1567987,1119.672695,1094.250301,907.5258898,856.075206,1113.589571,2402.587282,"POLYGON ((127.06927723391583 37.246591296682276, 127.06927210354507 37.24749267646373, 127.07039963451736 37.24749677254896, 127.07040475145921 37.24659539263461, 127.06927723391583 37.246591296682276))"
다사619165,1366.40712,2677.375869,3302.995149,5224.372502,685.7964468,1301.222069,2300.18129,381.4148757,5007.226773,6199.021567,1957.3591,642.1269359,701.0148966,1336.771489,6555.885402,1131.513804,1195.902771,3892.960944,2300.977098,1061.25068,3160.247208,666.3190452,744.1875258,923.2274305,546.7550089,1218.461401,1101.092024,1005.101645,805.4991721,1213.551947,2364.201429,"POLYGON ((127.07040475145921 37.24659539263461, 127.07039963451736 37.24749677254896, 127.07152716571746 37.247500857898274, 127.07153226923033 37.24659947785135, 127.07040475145921 37.24659539263461))"
다사589220,6852.257925,4494.436752,3076.710591,1169.234593,6231.866037,5759.142406,5128.437035,6159.602067,2988.371673,914.2154569,6539.469276,5660.118403,6067.697062,5756.033645,1176.10168,5360.579505,5167.918796,3361.246749,5576.772535,5885.277561,3107.492207,5632.916118,5810.008734,5895.245127,6007.824476,5963.215588,5263.39372,6058.749839,5854.586613,5828.517365,5083.712151,"POLYGON ((127.03627537246335 37.296043306434065, 127.03626983912734 37.29694467460402, 127.03739810272936 37.2969490898993, 127.03740362260383 37.29604772158615, 127.03627537246335 37.296043306434065))"
다사600188,3468.588683,1382.835928,320.0498086,2502.399309,3118.148524,2378.133011,2770.113059,2961.281431,3276.097889,3524.329877,3218.26061,2442.336767,2960.653667,2376.811288,3923.291167,2316.76795,2067.477306,2440.868862,3195.065672,2901.67521,643.4578135,2414.989094,2694.311767,2858.573156,2847.846617,2580.60071,2146.979983,2673.957981,2769.411233,2444.938388,2767.067008,"POLYGON ((127.04885833917936 37.267247377370396, 127.04885296158676 37.26814875152065, 127.04998079738299 37.26815304405363, 127.0499861615331 37.267251669764114, 127.04885833917936 37.267247377370396))"
다사603159,812.1515228,1854.679729,3203.044615,5418.101657,2380.334766,670.3465221,3679.478714,2058.710058,5816.527837,6439.975228,338.9582245,1927.02437,2352.796401,648.3003135,6836.873159,2421.964683,2293.992539,4752.824794,3819.526305,2658.00691,3392.792089,1927.172752,2270.445792,2517.197948,2163.725226,574.5770898,2246.652511,730.4233738,2369.477943,677.095346,3731.052888,"POLYGON ((127.05239648434105 37.24112029975371, 127.05239115396131 37.242021678328875, 127.05351860088162 37.24202593462353, 127.05352391783617 37.24112455591027, 127.05239648434105 37.24112029975371))"
다사623183,3110.746696,2966.830484,2594.47814,3882.443523,1419.590924,2477.656704,569.9948217,1529.385529,3238.263303,4753.590233,3450.698274,1279.328318,1279.364908,2507.662542,5063.243267,738.4889162,832.3833417,2139.891642,878.99787,963.8893966,2127.689159,1267.370212,1113.120334,1038.62103,1336.57178,2552.245573,880.5335617,2440.854447,1085.615318,2451.294302,612.7470305,"POLYGON ((127.07482365134459 37.26283649591692, 127.07481858406011 37.26373787387274, 127.07594635798938 37.26374191863983, 127.07595141183407 37.26284054055279, 127.07482365134459 37.26283649591692))"
다사608158,375.7469274,2212.504839,3410.503424,5582.42888,1989.790196,728.0529863,3446.677679,1676.671828,5802.322856,6599.987636,665.8723293,1654.42907,1988.081642,731.4422145,6988.366075,2184.871439,2106.848206,4711.426889,3532.674625,2323.196079,3511.732028,1661.203285,1951.843583,2180.977714,1809.539094,526.6227065,2042.187944,503.6083979,2041.202671,664.5613015,3503.604016,"POLYGON ((127.05803891719667 37.24024009380201, 127.05803365417724 37.24114147320244, 127.05916108884969 37.241145675691946, 127.05916633844444 37.24024429615515, 127.05803891719667 37.24024009380201))"
